Date,EEM,DBC,DGS,PCY
3/10/2008,35.541626,38.296074,30.234526,14.769724
3/17/2008,34.853241,34.505844,30.593369,14.782032
3/24/2008,36.205631,36.081005,30.959244,14.925817
3/31/2008,38.151558,36.514175,31.437708,14.874043
4/7/2008,37.764008,37.360825,31.339207,15.04085
4/14/2008,39.547318,38.276386,32.669041,14.7245
4/21/2008,39.723484,38.246849,32.59164,14.912334
4/28/2008,40.555515,37.400204,32.788651,14.970114
5/5/2008,39.840012,39.989368,32.085033,15.02789
5/12/2008,42.035278,39.900768,33.2038,14.987453
5/19/2008,40.298046,41.170738,32.049862,15.094003
5/26/2008,41.005413,39.920456,32.085033,15.047583
6/2/2008,39.219391,41.416859,30.959244,14.728398
6/9/2008,38.273529,42.923103,29.903818,14.519489
6/16/2008,37.184021,43.17907,29.150961,14.634666
6/23/2008,36.506477,44.88221,28.186989,14.017116
6/30/2008,35.39793,45.699322,27.405973,14.360851
7/7/2008,35.378723,45.216934,27.180815,14.232679
7/14/2008,35.606243,41.397167,27.293394,14.028773
7/21/2008,35.025097,39.585735,28.151808,14.284184
7/28/2008,34.918194,39.329773,27.940716,14.237349
8/4/2008,33.849098,36.514175,27.940716,14.25491
8/11/2008,33.117191,36.543709,27.792961,14.172953
8/18/2008,33.03495,37.902283,27.223032,14.214874
8/25/2008,32.93626,37.173771,27.286354,14.367855
9/1/2008,30.395117,35.135906,25.456945,14.338435
9/8/2008,30.049723,33.767487,25.393618,14.244292
9/15/2008,31.636909,33.875782,23.908976,12.237965
9/22/2008,29.432934,34.604294,23.599394,13.498704
9/29/2008,25.263472,30.065865,21.622217,13.149854
10/6/2008,20.189392,26.935234,17.590477,10.820245
10/13/2008,20.066038,26.433151,18.104118,10.500962
10/20/2008,16.299543,23.873516,15.725893,8.470948
10/27/2008,20.91309,24.995817,17.231636,9.738025
11/3/2008,20.263405,24.099945,17.238674,11.635661
11/10/2008,18.273254,23.381279,15.972162,11.034842
11/17/2008,17.179489,21.481241,15.345939,9.732608
11/24/2008,18.873592,21.904566,15.9018,11.39661
12/1/2008,18.536411,19.394156,15.732929,11.851515
12/8/2008,20.362091,21.559999,16.886866,11.809617
12/15/2008,20.921309,20.181736,17.710096,12.180724
12/22/2008,19.769981,20,16.288788,13.144574
12/29/2008,21.816305,21.93,18.436306,12.776765
1/5/2009,20.74884,21.41,17.689386,13.210896
1/12/2009,19.38949,20.559999,16.972054,12.662203
1/19/2009,18.530518,20.66,16.602299,13.277218
1/26/2009,18.889114,20.25,16.528339,13.289351
